,sentence,predicted_langugae,target_language
0,dels beneficis obtinguts,Catalan,Catalan
1,var en bilbombe,Danish,Danish
2,og give dig knuste blade fra planten fingerbøl,Danish,Danish
3,i det sidste halvandet års tid,Danish,Danish
4,i penseu,Catalan,Catalan
5,den farligt skrämmande uppföljaren,Swedish,Swedish
6,et dhabitude ce dont je parle,French,French
7,bilanciare vita e lavoro,Italian,Italian
8,gøre alt,Danish,Danish
9,en dat men tegen de tijd van de eerste wereldoorlog machinegeweren had,Dutch,Dutch
10,cè una particolare alterazione,Italian,Italian
11,os soldados chineses irão capturar,Portuguese,Portuguese
12,är att det kanske är ett hem för liv i solsystemet,Swedish,Swedish
13,a ver um robô que agora conseguia fazer,Portuguese,Portuguese
14,nem sempre corre como esperado,Portuguese,Portuguese
15,men tänk om vi fått det om bakfoten,Swedish,Swedish
16,le mettre dans une cellule vivante alors il produira des produit de thylacine,French,French
17,bom nos balões nos precisamos dos homens do tempo,Portuguese,Portuguese
18,però tenim por a la intimitat,Catalan,Catalan
19,ressonâncias magnéticas que conseguem descodificar os sinais que os nossos corpos enviam,Portuguese,Portuguese
20,synaptische functie,Dutch,Dutch
21,tekst ofte gedetiden installerer en fejl er opkast,Danish,Danish
22,nous fonctionnons en dehors des limites de concentrations de co,French,French
23,qui lui permet de persister dans le temps,French,French
24,van onderzoeksjournalistiek,Dutch,Dutch
25,qui a reçu la même punition,French,French
26,voici un poste de travail à jilin city en chine,French,French
27,aqueles atletas tinham sacrificado tudo para competir nos jogos,Portuguese,Portuguese
28,que produz hormonas,Portuguese,Portuguese
29,e se vê as ondas a agitaremse ao longe,Portuguese,Portuguese
30,under hela resan,Swedish,Swedish
31,alors ils ont inventé des gigues tombales,French,French
32,som tog sig af robotmusikere,Danish,Danish
33,in de jaren namen,Dutch,Dutch
34,e ci diedero una presentazione che aveva unagenda che assomigliava a questa,Italian,Italian
35,e voleva darmi una bibbia,Italian,Italian
36,ik wilde een officieel pensioenplan,Dutch,Dutch
37,en de softwareontwikkeling,Dutch,Dutch
38,och sett hur de skulle kunna fungera,Swedish,Swedish
39,et vienne avait une école déquitation espagnole,French,French
40,ik kreeg enkele postkaartjes van deze jongens in las vegas,Dutch,Dutch
